Description,ICD Code
"Poisoning by methamphetamines, undetermined, sequela",T43.654S
Adverse effect of methamphetamines,T43.655
"Adverse effect of methamphetamines, initial encounter",T43.655A
"Adverse effect of methamphetamines, subsequent encounter",T43.655D
"Adverse effect of methamphetamines, sequela",T43.655S
Underdosing of methamphetamines,T43.656
"Underdosing of methamphetamines, initial encounter",T43.656A
"Underdosing of methamphetamines, subsequent encounter",T43.656D
"Underdosing of methamphetamines, sequela",T43.656S
Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident,V20.01
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.01XA
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.01XD
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.01XS
Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident,V20.09
"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.09XA
"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.09XD
"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.09XS
Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident,V20.11
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.11XA
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.11XD
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.11XS
Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident,V20.19
"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.19XA
"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.19XD
"Other motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.19XS
Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident,V20.21
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.21XA
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.21XD
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.21XS
Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident,V20.29
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V20.29XA
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V20.29XD
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in nontraffic accident, sequela",V20.29XS
Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal,V20.31
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, initial encounter",V20.31XA
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, subsequent encounter",V20.31XD
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedestrian or animal, sequela",V20.31XS
Person boarding or alighting other motorcycle injured in collision with pedestrian or animal,V20.39
"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, initial encounter",V20.39XA
"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, subsequent encounter",V20.39XD
"Person boarding or alighting other motorcycle injured in collision with pedestrian or animal, sequela",V20.39XS
Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident,V20.41
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.41XA
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.41XD
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, sequela",V20.41XS
Other motorcycle driver injured in collision with pedestrian or animal in traffic accident,V20.49
"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.49XA
"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.49XD
"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, sequela",V20.49XS
Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident,V20.51
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.51XA
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.51XD
"Electric (assisted) bicycle passenger injured in collision with pedestrian or animal in traffic accident, sequela",V20.51XS
Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident,V20.59
"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.59XA
"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.59XD
"Other motorcycle passenger injured in collision with pedestrian or animal in traffic accident, sequela",V20.59XS
Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident,V20.91
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.91XA
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.91XD
"Unspecified electric (assisted) bicycle rider injured in collision with pedestrian or animal in traffic accident, sequela",V20.91XS
Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident,V20.99
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, initial encounter",V20.99XA
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V20.99XD
"Unspecified rider of other motorcycle injured in collision with pedestrian or animal in traffic accident, sequela",V20.99XS
Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident,V21.01
"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.01XA
"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.01XD
"Electric (assisted) bicycle driver injured in collision with pedal cycle in nontraffic accident, sequela",V21.01XS
Other motorcycle driver injured in collision with pedal cycle in nontraffic accident,V21.09
"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.09XA
"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.09XD
"Other motorcycle driver injured in collision with pedal cycle in nontraffic accident, sequela",V21.09XS
Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident,V21.11
"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.11XA
"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.11XD
"Electric (assisted) bicycle passenger injured in collision with pedal cycle in nontraffic accident, sequela",V21.11XS
Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident,V21.19
"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.19XA
"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.19XD
"Other motorcycle passenger injured in collision with pedal cycle in nontraffic accident, sequela",V21.19XS
Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident,V21.21
"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.21XA
"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.21XD
"Unspecified electric (assisted) bicycle rider injured in collision with pedal cycle in nontraffic accident, sequela",V21.21XS
Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident,V21.29
"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, initial encounter",V21.29XA
"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V21.29XD
"Unspecified rider of other motorcycle injured in collision with pedal cycle in nontraffic accident, sequela",V21.29XS
Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle,V21.31
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, initial encounter",V21.31XA
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, subsequent encounter",V21.31XD
"Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle, sequela",V21.31XS
Person boarding or alighting other motorcycle injured in collision with pedal cycle,V21.39
"Person boarding or alighting other motorcycle injured in collision with pedal cycle, initial encounter",V21.39XA
"Person boarding or alighting other motorcycle injured in collision with pedal cycle, subsequent encounter",V21.39XD
